region_id,region_name,county_name,municipality_name,municipality_type,state_name,state_abbr
2509,City of Beverly,Essex,Beverly,City,Massachusetts,MA
2510,City of Boston,Suffolk,Boston,City,Massachusetts,MA
2511,City of Brockton,Plymouth,Brockton,City,Massachusetts,MA
2512,City of Cambridge,Middlesex,Cambridge,City,Massachusetts,MA
2513,City of Chelsea,Suffolk,Chelsea,City,Massachusetts,MA
2514,City of Chicopee,Hampden,Chicopee,City,Massachusetts,MA
2515,City of Everett,Middlesex,Everett,City,Massachusetts,MA
2516,City of Fall River,Bristol,Fall,City,Massachusetts,MA
2517,City of Fitchburg,Worcester,Fitchburg,City,Massachusetts,MA
2518,Ctiy of Gardner,Worcester,Gardner,City,Massachusetts,MA
2519,City of Gloucester,Essex,Gloucester,City,Massachusetts,MA
2520,City of Haverhill,Essex,Haverhill,City,Massachusetts,MA
2521,City of Holyoke,Hampden,Holyoke,City,Massachusetts,MA
2522,City of Lawrence,Essex,Lawrence,City,Massachusetts,MA
2523,City of Leominister,Worcester,Leominister,City,Massachusetts,MA
2524,City of Lowell,Middlesex,Lowell,City,Massachusetts,MA
2525,City of Lynn,Essex,Lynn,City,Massachusetts,MA
2526,City of Malden,Middlesex,Malden,City,Massachusetts,MA
2527,City of Marlborough,Middlesex,Marlborough,City,Massachusetts,MA
2528,City of Melrose,Middlesex,Melrose,City,Massachusetts,MA
2529,City of New Bedford,Bristol,New,City,Massachusetts,MA
2530,City of Newburyport,Essex,Newburyport,City,Massachusetts,MA
2531,City of Newton,Middlesex,Newton,City,Massachusetts,MA
2532,City of North Adams,Berkshire,North,City,Massachusetts,MA
2533,City of Northampton,Hampshire,Northampton,City,Massachusetts,MA
2534,City of Peabody,Essex,Peabody,City,Massachusetts,MA
2535,City of Pittsfield,Berkshire,Pittsfield,City,Massachusetts,MA
2536,City of Quincy,Norfolk,Quincy,City,Massachusetts,MA
2537,City of Revere,Suffolk,Revere,City,Massachusetts,MA
2538,City of Salem,Essex,Salem,City,Massachusetts,MA
2539,City of Somerville,Middlesex,Somerville,City,Massachusetts,MA
2540,City of Springfield,Hampden,Springfield,City,Massachusetts,MA
2541,City of Taunton,Bristol,Taunton,City,Massachusetts,MA
2542,City of Waltham,Middlesex,Waltham,City,Massachusetts,MA
2543,City of Westfield,Hampden,Westfield,City,Massachusetts,MA
2544,City of Woburn,Middlesex,Woburn,City,Massachusetts,MA
2545,City of Worcester,Worcester,Worcester,City,Massachusetts,MA
2546,Town of Abington,Plymouth,Abington,Town,Massachusetts,MA
2547,Town of Acton,Middlesex,Acton,Town,Massachusetts,MA
2548,Town of Acushnet,Bristol,Acushnet,Town,Massachusetts,MA
2549,Town of Adams,Berkshire,Adams,Town,Massachusetts,MA
2550,Town of Agawam,Hampden,Agawam,Town,Massachusetts,MA
2551,Town of Alford,Berkshire,Alford,Town,Massachusetts,MA
2552,Town of Amesbury,Essex,Amesbury,Town,Massachusetts,MA
2553,Town of Amherst,Hampshire,Amherst,Town,Massachusetts,MA
